        21	 -21700677	 -20229505	 -22448733	 -19560844	 -20890785	 -19106747	 -17926766	 -18725988	 -19339976	 -17915406	 -18712341	 -19405474	 -19485469	 -20783541	 -19069497	 -21869443	 -20336755	 -22613851
        22	 -21697002	 -20227153	 -22445132	 -19562496	 -20893218	 -19107422	 -17926981	 -18726246	 -19338530	 -17914901	 -18711769	 -19406606	 -19483538	 -20780805	 -19068513	 -21872818	 -20338777	 -22617131
        23	 -21693329	 -20224803	 -22441532	 -19564132	 -20895635	 -19108081	 -17927199	 -18726506	 -19337085	 -17914379	 -18711179	 -19407721	 -19481609	 -20778070	 -19067531	 -21876176	 -20340780	 -22620393
        24	 -21689657	 -20222455	 -22437934	 -19565752	 -20898033	 -19108722	 -17927418	 -18726768	 -19335643	 -17913840	 -18710571	 -19408817	 -19479681	 -20775337	 -19066551	 -21879517	 -20342765	 -22623637
        25	 -21685986	 -20220108	 -22434337	 -19567356	 -20900415	 -19109345	 -17927640	 -18727033	 -19334203	 -17913285	 -18709946	 -19409894	 -19477756	 -20772605	 -19065573	 -21882840	 -20344731	 -22626862
        26	 -21682316	 -20217763	 -22430741	 -19568944	 -20902779	 -19109952	 -17927864	 -18727300	 -19332765	 -17912713	 -18709304	 -19410953	 -19475832	 -20769876	 -19064597	 -21886146	 -20346679	 -22630070
        27	 -21678648	 -20215421	 -22427146	 -19570516	 -20905126	 -19110542	 -17928091	 -18727569	 -19331329	 -17912125	 -18708643	 -19411994	 -19473911	 -20767147	 -19063624	 -21889434	 -20348609	 -22633258
        28	 -21674982	 -20213079	 -22423553	 -19572073	 -20907456	 -19111114	 -17928320	 -18727840	 -19329895	 -17911520	 -18707966	 -19413017	 -19471991	 -20764421	 -19062653	 -21892705	 -20350520	 -22636429
        29	 -21671316	 -20210740	 -22419961	 -19573613	 -20909768	 -19111670	 -17928551	 -18728113	 -19328464	 -17910899	 -18707271	 -19414021	 -19470073	 -20761697	 -19061683	 -21895958	 -20352412	 -22639580
        30	 -21667652	 -20208403	 -22416371	 -19575137	 -20912063	 -19112210	 -17928784	 -18728389	 -19327034	 -17910262	 -18706559	 -19415008	 -19468158	 -20758974	 -19060716	 -21899193	 -20354286	 -22642713
        31	 -21663990	 -20206067	 -22412782	 -19576646	 -20914341	 -19112733	 -17929020	 -18728666	 -19325606	 -17909609	 -18705830	 -19415975	 -19466244	 -20756252	 -19059751	 -21902410	 -20356142	 -22645828
        32	 -21660329	 -20203733	 -22409194	 -19578139	 -20916602	 -19113239	 -17929258	 -18728946	 -19324181	 -17908939	 -18705085	 -19416925	 -19464332	 -20753533	 -19058789	 -21905610	 -20357979	 -22648924
        33	 -21656669	 -20201401	 -22405608	 -19579616	 -20918845	 -19113729	 -17929499	 -18729228	 -19322757	 -17908254	 -18704322	 -19417856	 -19462423	 -20750815	 -19057828	 -21908791	 -20359798	 -22652001
        34	 -21653011	 -20199071	 -22402023	 -19581077	 -20921071	 -19114203	 -17929741	 -18729513	 -19321336	 -17907554	 -18703543	 -19418769	 -19460515	 -20748099	 -19056869	 -21911955	 -20361600	 -22655060
        35	 -21649354	 -20196743	 -22398439	 -19582523	 -20923279	 -19114660	 -17929986	 -18729799	 -19319916	 -17906837	 -18702747	 -19419663	 -19458609	 -20745385	 -19055913	 -21915102	 -20363383	 -22658100
        36	 -21645698	 -20194417	 -22394857	 -19583953	 -20925470	 -19115102	 -17930233	 -18730088	 -19318499	 -17906105	 -18701935	 -19420539	 -19456705	 -20742672	 -19054959	 -21918230	 -20365149	 -22661121
        37	 -21642044	 -20192092	 -22391276	 -19585367	 -20927644	 -19115527	 -17930483	 -18730379	 -19317084	 -17905358	 -18701107	 -19421397	 -19454804	 -20739961	 -19054007	 -21921340	 -20366897	 -22664124
        38	 -21638391	 -20189769	 -22387697	 -19586765	 -20929800	 -19115937	 -17930735	 -18730672	 -19315671	 -17904596	 -18700262	 -19422236	 -19452904	 -20737252	 -19053057	 -21924433	 -20368628	 -22667108
